Student Age,Sex,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Do you have a partner,Total salary if available,Transportation to the university,Accomodation type in Cyprus,Mother's education,Father's education,Number of sisters/brothers (if available),Parental status,Mother's occupation,Father's occupation,Weekly study hours,Reading frequency (non-scientific books/journals),Reading frequency (scientific books/journals),Attendance to the seminars/conferences related to the department,Impact of your projects/activities on your success,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative grade point average in the last semester (/4.00),Expected Cumulative grade point average in the graduation (/4.00),Course ID,target
3,2,2,3,1,2,2,1,1,2,1,2,4,1,2,3,2,2,2,1,1,1,1,1,3,3,2,3,5,4,5,3
2,2,2,4,1,2,1,2,1,1,3,1,3,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,5,7
2,2,3,3,2,2,2,3,1,1,4,4,2,1,1,2,1,2,2,1,1,1,3,1,3,2,3,3,1,2,5,7
3,2,3,3,1,2,1,3,1,2,4,2,5,3,2,1,1,2,2,1,1,1,3,3,3,3,3,3,5,4,5,7
1,2,2,5,2,2,2,2,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,3,2,3,3,4,3,5,4
2,2,2,4,2,2,2,1,4,2,3,3,2,1,4,1,2,2,2,1,1,1,1,1,3,2,3,2,5,4,5,5
2,2,2,3,2,1,2,2,1,1,3,4,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,6,6
1,2,2,4,2,1,1,1,1,1,4,4,1,1,3,2,2,2,2,1,1,1,1,2,3,1,2,3,5,3,6,6
2,2,2,3,2,2,2,1,1,1,3,5,3,1,2,2,2,2,2,1,1,2,1,1,3,1,3,3,3,2,6,6
2,1,2,3,2,1,1,1,2,3,3,3,1,1,4,2,2,2,2,1,1,1,1,1,2,3,2,3,4,2,6,6
2,2,2,5,1,1,1,1,1,2,4,1,5,1,2,3,2,2,2,1,1,1,1,1,2,3,3,2,5,4,6,6
1,2,2,3,2,2,2,1,1,1,3,4,4,1,3,2,3,2,2,1,1,1,1,1,3,2,3,3,2,2,6,7
1,2,2,1,1,2,1,1,1,2,1,2,4,1,2,3,5,2,1,1,1,1,1,1,3,3,3,2,2,2,6,4
2,2,2,3,2,2,1,1,1,1,3,2,5,1,2,5,2,2,3,1,1,1,1,1,3,2,2,3,5,4,6,6
1,2,3,5,1,1,1,1,2,3,3,4,1,1,2,1,2,2,3,1,1,1,1,1,3,2,2,1,4,3,7,5
1,2,2,4,2,1,1,1,2,3,2,2,3,1,4,2,2,3,2,1,1,1,1,1,3,2,3,2,2,3,7,7
1,2,2,4,1,2,2,1,1,3,3,3,4,1,2,3,2,2,2,1,1,1,1,1,3,2,2,1,3,3,7,6
1,2,2,4,2,1,2,1,4,2,2,4,2,1,2,5,2,3,2,1,1,1,1,1,3,1,2,1,4,4,7,7
2,2,2,3,2,2,2,1,4,2,3,4,2,1,2,1,3,2,2,1,1,1,1,1,3,2,3,2,2,2,7,7
1,2,2,4,2,2,2,1,2,3,4,1,2,1,3,3,2,2,2,1,1,1,1,1,2,2,2,1,3,3,7,6
1,2,2,4,2,2,1,2,1,3,2,3,1,1,2,4,2,2,2,1,1,1,1,1,3,3,2,1,2,3,7,7
1,2,2,3,2,2,1,1,1,2,3,1,1,2,4,4,2,2,2,2,1,1,1,1,3,1,2,1,3,4,7,7
1,2,1,4,2,2,1,5,1,2,1,3,4,1,2,1,2,3,2,1,1,1,1,1,2,2,3,2,4,4,7,7
1,1,2,3,2,2,2,1,2,2,4,4,1,1,3,2,2,2,2,1,1,1,1,1,2,3,2,2,1,1,7,3
1,2,2,4,1,1,2,1,1,1,2,2,4,1,2,4,2,3,2,1,1,2,1,2,2,1,3,1,3,3,7,7
1,2,2,4,2,1,2,1,1,2,2,2,1,1,2,1,3,2,2,1,1,1,3,2,2,2,2,1,4,4,7,7
1,1,2,4,1,1,2,1,1,3,1,3,5,1,2,4,2,2,2,1,1,1,2,1,2,3,2,1,4,2,7,6
2,1,1,5,2,1,2,2,2,1,1,2,1,3,1,5,3,3,2,1,1,2,1,1,2,3,1,2,3,3,7,6
1,2,1,3,2,1,1,1,2,2,4,4,2,3,2,5,3,2,2,1,1,1,2,2,3,2,3,1,4,4,7,7
2,2,2,3,2,2,2,2,4,2,4,4,2,2,1,5,2,2,2,1,1,2,1,1,2,2,2,1,2,3,8,2
1,1,1,5,2,1,2,1,1,2,3,3,1,1,3,2,1,2,2,2,2,1,1,1,3,1,3,3,4,3,8,2
2,1,3,3,1,2,2,1,3,3,1,1,2,1,2,1,1,1,1,2,3,1,2,1,3,3,3,1,4,2,8,2
2,1,3,3,2,2,2,1,4,2,4,4,1,1,3,2,2,2,3,2,3,2,2,1,2,2,1,1,1,2,8,1
2,1,2,5,1,1,2,4,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,8,2
2,1,2,5,1,2,1,1,1,1,1,1,2,1,2,2,3,3,2,2,3,1,2,2,3,2,3,2,2,2,8,1
2,1,2,5,2,2,2,1,1,1,1,1,5,1,2,4,3,3,3,2,1,1,1,1,3,3,3,1,2,3,8,1
3,1,1,3,2,1,2,1,1,2,4,4,1,1,1,3,2,2,3,2,1,2,1,1,2,3,2,1,2,3,8,1
1,2,2,5,2,1,1,1,4,2,1,2,3,1,4,4,1,2,2,1,1,1,3,1,3,3,2,2,3,3,8,1
2,1,2,4,2,1,2,1,1,2,3,3,2,3,2,5,5,2,2,1,1,1,1,2,2,2,3,1,3,3,8,2
2,1,1,3,1,1,1,2,2,3,3,3,2,1,3,4,1,1,1,1,1,2,2,1,3,3,3,2,2,2,8,1
2,1,2,3,1,1,1,1,2,1,1,1,5,3,2,4,5,3,3,1,3,1,2,1,1,1,1,1,1,1,8,0
1,2,2,5,2,1,2,1,1,1,3,3,2,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,4,3,8,2
2,1,3,3,2,2,2,3,1,1,3,2,4,1,1,1,2,2,3,2,1,1,1,1,3,3,2,1,1,1,8,1
1,1,2,4,1,1,1,1,1,3,2,3,2,1,4,3,4,2,2,2,1,1,2,2,3,3,2,1,3,3,9,3
1,1,2,5,1,1,2,1,1,3,1,1,5,1,2,3,3,2,3,2,1,1,1,2,3,2,3,1,1,3,9,2
1,1,1,4,1,1,1,3,2,3,4,6,2,1,4,3,4,2,3,1,1,1,2,1,3,3,3,1,2,2,9,3
1,1,2,4,2,2,2,1,4,3,3,2,2,1,3,4,2,1,1,2,1,1,1,1,3,2,2,1,2,2,9,1
1,1,2,4,2,1,1,1,4,3,3,4,2,1,4,2,2,1,1,2,1,1,1,1,3,2,2,1,2,2,9,0
1,1,2,3,1,1,2,1,1,1,1,1,3,1,2,4,4,2,3,2,1,1,2,2,3,2,3,2,2,3,9,3
1,1,2,3,1,1,2,1,1,1,1,2,3,1,2,4,4,2,2,2,1,1,1,2,3,1,3,2,2,3,9,1
1,1,1,5,2,1,2,1,2,2,4,3,1,1,3,2,4,1,3,2,1,1,1,2,3,2,3,1,5,3,9,4
1,1,1,5,2,1,2,1,1,2,1,2,3,1,2,1,2,2,3,2,1,1,2,1,3,2,3,1,5,4,9,3
1,1,2,5,2,2,1,1,1,1,1,1,1,1,2,3,3,1,2,2,1,1,1,1,3,3,3,2,5,3,9,3
1,1,2,4,2,1,2,1,2,3,1,1,2,1,4,3,2,2,2,2,1,1,1,1,2,1,2,1,2,3,9,1
2,1,2,3,1,1,2,1,4,2,3,3,1,1,2,1,2,3,2,1,3,1,1,1,3,3,2,1,3,2,9,2
1,1,2,3,1,1,1,1,2,3,3,3,3,1,3,4,2,2,2,2,1,1,3,1,3,2,2,1,2,2,9,0
1,1,1,5,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,3,1,2,4,9,2
1,1,2,4,1,1,1,5,2,3,3,1,1,2,4,5,2,2,3,2,3,1,2,1,3,2,3,1,1,3,9,0
1,1,2,4,1,2,1,2,2,3,3,3,1,1,5,4,1,1,2,2,1,2,2,1,2,3,2,1,1,2,9,0
2,1,2,3,1,1,2,1,1,2,1,2,2,2,2,4,3,3,2,1,1,1,1,1,2,1,2,1,3,3,9,5
1,1,2,4,2,2,2,1,4,2,1,1,5,1,2,1,3,2,2,2,1,2,1,1,3,2,2,1,5,3,9,5
1,1,1,4,2,2,2,1,1,1,3,4,4,1,2,4,2,2,2,1,1,1,1,1,3,3,2,1,4,3,9,1
2,1,2,4,1,1,1,5,2,3,4,4,1,1,3,3,2,2,1,1,1,1,2,1,2,1,2,1,5,3,9,4
1,1,1,5,2,2,2,3,1,1,3,1,5,1,2,4,3,1,1,1,1,1,2,1,3,2,3,1,5,4,9,3
